mkt_unique_carrier,avg_distance_per_month_by_carrier,avg_dep_delay_by_carrier,total_gallons,passengers_by_carrier_per_month,monthly_distance_per_passenger,avgfuel_percustomer_perdistance
AA,1165292.8333333333,17462.958333333332,6416095839.0,12697772.041666666,10.896636174569569,588814358.5057747
AS,350707.625,1179.0833333333333,1275982235.0,2920384.125,8.327118992636672,153232136.60430437
B6,268806.3333333333,4118.333333333333,1515474373.0,3545438.25,13.189563675955057,114899507.68900356
DL,1008219.125,13638.541666666666,6310644705.0,13131628.958333334,13.024578321040412,484518158.62672025
F9,105229.54166666667,1751.5,472871566.0,1776411.8333333333,16.881303531288147,28011555.21690433
G4,72317.91666666667,920.7083333333334,340451738.0,1207057.8333333333,16.690992895951325,20397332.868231114
HA,46943.375,182.66666666666666,475329904.0,965526.9583333334,20.567906724502304,23110271.276840493
NK,158325.16666666666,1537.25,766693923.0,2658691.625,16.792602723719433,45656646.29920948
UA,1004147.7083333334,17035.25,6123716594.0,9600461.75,9.560806313978127,640502107.5520567
VX,85841.0,290.6666666666667,2293423331.0,85847.625,1.0000771775724886,2293246343.814066
WN,834725.1666666666,11777.75,3648209121.0,13947604.708333334,16.709217914239638,218335121.35184896
